Dim,Key,TempoM,SD
7762,1,0.350528,1.31834
7772,1,0.35856,1.32241
7782,1,0.356512,1.32674
7792,1,0.357072,1.33098
7802,1,0.37104,1.33521
7812,1,0.353176,1.33992
7822,1,0.36148,1.34396
7832,1,0.368272,1.34827
7842,1,0.36512,1.3528
7852,1,0.368192,1.3572
7862,1,0.407912,1.36167
7872,1,0.406888,1.36767
7882,1,0.370936,1.37358
7892,1,0.362024,1.37807
7902,1,0.366784,1.38221
7912,1,0.378128,1.3865
7922,1,0.374296,1.39117
7932,1,0.389904,1.39567
7942,1,0.388,1.40072
7952,1,0.366808,1.40567
7962,1,0.375352,1.40983
7972,1,0.379328,1.41427
7982,1,0.383144,1.41882
7992,1,0.378568,1.42349
8002,1,0.3846,1.42796
8012,1,0.381808,1.43262
8022,1,0.387072,1.43716
8032,1,0.38092,1.44186
8042,1,0.377192,1.44631
8052,1,0.386792,1.45061
8062,1,0.40244,1.45522
8072,1,0.399936,1.46038
8082,1,0.385328,1.46541
8092,1,0.394248,1.46989
8102,1,0.38744,1.47466
8112,1,0.389312,1.47916
8122,1,0.398168,1.4837
8132,1,0.391952,1.48853
8142,1,0.387704,1.49312
8152,1,0.393568,1.49753
8162,1,0.399352,1.50212
8172,1,0.39136,1.50688
8182,1,0.416552,1.51135
8192,1,0.411936,1.51669
8202,1,0.400448,1.52183
8212,1,0.397568,1.52653
8222,1,0.392528,1.5311
8232,1,0.400288,1.53548
8242,1,0.403048,1.54009
8252,1,0.409272,1.54478
8262,1,0.408352,1.54966
8272,1,0.408584,1.55448
8282,1,0.408312,1.55929
8292,1,0.404328,1.56405
8302,1,0.412064,1.56866
8312,1,0.41396,1.5735
8322,1,0.404712,1.57839
8332,1,0.4042,1.58293
8342,1,0.405416,1.58743
8352,1,0.408024,1.59195
8362,1,0.408336,1.59653
8372,1,0.409936,1.6011
8382,1,0.406576,1.6057
8392,1,0.410472,1.61017
8402,1,0.409496,1.61473
8412,1,0.41924,1.61925
8422,1,0.431784,1.62407
8432,1,0.438296,1.6293
8442,1,0.4226,1.63474
8452,1,0.416584,1.63959
8462,1,0.430768,1.64422
8472,1,0.426352,1.6493
8482,1,0.424728,1.65421
8492,1,0.435136,1.65903
8502,1,0.430568,1.66419
8512,1,0.429696,1.66916
8522,1,0.439712,1.67408
8532,1,0.438176,1.67931
8542,1,0.44244,1.68447
8552,1,0.435248,1.68974
8562,1,0.434448,1.69474
8572,1,0.440984,1.69968
8582,1,0.436992,1.70482
8592,1,0.4406,1.7098
8602,1,0.43,1.71488
8612,1,0.439056,1.71957
8622,1,0.43388,1.72454
8632,1,0.433512,1.72931
8642,1,0.448176,1.73405
8652,1,0.449176,1.73925
8662,1,0.450512,1.74447
8672,1,0.45508,1.7497
8682,1,0.46204,1.75506
8692,1,0.45004,1.76064
8702,1,0.443264,1.76577
8712,1,0.464312,1.77065
8722,1,0.452184,1.77622
8732,1,0.452864,1.78135
8742,1,0.460624,1.78647
8752,1,0.461392,1.79182
8762,1,0.45816,1.79718
8772,1,0.460816,1.8024
8782,1,0.459264,1.80768
8792,1,0.46072,1.81288
8802,1,0.47296,1.81811
8812,1,0.458928,1.82373
8822,1,0.464736,1.82884
